,YEAR,COUNTY,POUNDS,VALUE,FIPS
452,2017,Sagadahoc,1347351,5833952,023
453,2017,Waldo,791465,3168086,027
454,2017,Washington,21106012,71629724,029
455,2017,York,3752393,17481938,031
456,2017,Total,112062369,438810511,
457,2018,Cumberland,13689465,60350822,005
458,2018,Hancock,39651093,155395426,009
459,2018,Knox,31236959,136176539,013
460,2018,Lincoln,6893362,29752553,015
461,2018,Sagadahoc,1335105,5848576,023
462,2018,Waldo,750022,3027030,027
463,2018,Washington,22802112,78508054,029
464,2018,York,4636171,21331737,031
465,2018,Total,120994289,490390737,
466,2019,Cumberland,11099364,56971215,005
467,2019,Hancock,31607947,152179907,009
468,2019,Knox,27805264,142747344,013
469,2019,Lincoln,5632749,28474379,015
470,2019,Sagadahoc,1192437,6097517,023
471,2019,Waldo,629651,3106766,027
472,2019,Washington,20470853,83657525,029
473,2019,York,3747664,19546973,031
474,2019,Total,102185929,492781626,
475,2020,Cumberland,10409983,46559536,005
476,2020,Hancock,30855837,129430909,009
477,2020,Knox,25990306,115000152,013
478,2020,Lincoln,5423973,23216647,015
479,2020,Sagadahoc,1534862,6715416,023
480,2020,Waldo,513767,2182991,027
481,2020,Washington,19474153,72734736,029
482,2020,York,3684654,16483473,031
483,2020,Total,97887535,412323860,
484,2021,Cumberland,13707062,93687678,005
485,2021,Hancock,32509539,221752468,009
486,2021,Knox,29887148,206876653,013
487,2021,Lincoln,6637449,44246398,015
488,2021,Sagadahoc,1953664,13362743,023
489,2021,Waldo,437442,3113020,027
490,2021,Washington,20644521,126296455,029
491,2021,York,4848631,33122701,031
492,2021,Total,110625456,742458116,
493,2022,Cumberland,11027247,48306694,005
494,2022,Hancock,30470161,124176245,009
495,2022,Knox,26175614,110577028,013
496,2022,Lincoln,6008220,26053223,015
497,2022,Sagadahoc,1670213,7168226,023
498,2022,Waldo,254063,1012875,027
499,2022,Washington,18827132,55682162,029
500,2022,York,4267771,19118834,031
501,2022,Total,98700421,392095287,
502,2023,Cumberland,11098192,59201352,005
503,2023,Hancock,27982279,140750572,009
504,2023,Knox,24595599,127913299,013
505,2023,Lincoln,5993511,31581566,015
506,2023,Sagadahoc,1121585,5963277,023
507,2023,Waldo,202752,1016949,027
508,2023,Washington,18682565,76566747,029
509,2023,York,4047327,21342607,031
510,2023,Total,93723810,464336369,
